# TỪ | PHIÊN ÂM | TỪ LOẠI | NGHĨA TIẾNG VIỆT | CÂU VÍ DỤ | NGHĨA CÂU VÍ DỤ
# Band 5 (860–990): từ học thuật, trang trọng và các cụm hay bị bẫy.

turnover | /ˈtɜːrnoʊvər/ | n | doanh thu/ tỷ lệ thay đổi nhân sự | Staff turnover fell after the pay rise. | Tỷ lệ nghỉ việc giảm sau đợt tăng lương.
setback | /ˈsetbæk/ | n | trở ngại/ bước lùi | The recall was a serious setback for the brand. | Đợt thu hồi là một bước lùi nghiêm trọng cho thương hiệu.
scope | /skoʊp/ | n | phạm vi | The scope of the project was reduced. | Phạm vi của dự án đã bị thu hẹp.
premise | /ˈpremɪs/ | n | tiền đề/ cơ sở lập luận | The plan rests on a false premise. | Kế hoạch dựa trên một tiền đề sai.
threshold | /ˈθreʃhoʊld/ | n | ngưỡng/ mức giới hạn | Orders above this threshold get free shipping. | Đơn hàng trên ngưỡng này được miễn phí vận chuyển.
notwithstanding | /ˌnɑːtwɪθˈstændɪŋ/ | prep | mặc dù/ bất chấp | Notwithstanding the delay, the event was a success. | Mặc dù bị chậm trễ, sự kiện vẫn thành công.
albeit | /ɔːlˈbiːɪt/ | conj | mặc dù/ dẫu rằng | Sales grew, albeit more slowly than expected. | Doanh số vẫn tăng, dẫu chậm hơn dự kiến.
whereas | /werˈæz/ | conj | trong khi/ ngược lại | Exports rose, whereas domestic sales fell. | Xuất khẩu tăng, trong khi doanh số nội địa giảm.
provided that | /prəˈvaɪdɪd ðæt/ | phr | miễn là/ với điều kiện là | You may leave early provided that your work is done. | Bạn có thể về sớm miễn là đã xong việc.
in lieu of | /ɪn ˈluː əv/ | phr | thay cho/ thay vì | Staff took extra days off in lieu of payment. | Nhân viên nhận thêm ngày nghỉ thay cho tiền.
at the expense of | /ət ði ɪkˈspens əv/ | phr | phải đánh đổi bằng | Speed came at the expense of accuracy. | Tốc độ có được phải đánh đổi bằng độ chính xác.
by virtue of | /baɪ ˈvɜːrtʃuː əv/ | phr | nhờ vào/ do bởi | She holds the seat by virtue of her seniority. | Cô ấy giữ ghế đó nhờ vào thâm niên của mình.
in conjunction with | /ɪn kənˈdʒʌŋkʃn wɪð/ | phr | kết hợp cùng với | The fair is held in conjunction with a trade summit. | Hội chợ được tổ chức kết hợp cùng một hội nghị thương mại.
be attributed to | /bi əˈtrɪbjuːtɪd tuː/ | phr | được cho là do | The rise can be attributed to lower costs. | Mức tăng này có thể được cho là do chi phí giảm.
take precedence over | /teɪk ˈpresɪdəns ˈoʊvər/ | phr | được ưu tiên hơn | Safety takes precedence over speed. | An toàn được ưu tiên hơn tốc độ.
